year,mileage_km,engine_power_hp,engine_size_l,fuel_type_code,transmission_code,doors,seats,owners,accident_free,service_history_score,emission_g_km,price_eur
2012,148000,90,1.2,1,1,5,5,2,1,6,125,6900
2015,112000,110,1.4,1,1,5,5,1,1,8,118,10900
2018,76000,130,1.5,1,2,5,5,1,1,9,112,17800
2020,42000,150,1.6,2,2,5,5,1,1,10,105,24900
2022,18000,180,2.0,2,2,5,5,1,1,10,132,32900
2010,186000,75,1.1,1,1,3,4,3,1,5,139,4300
2014,125000,105,1.6,3,1,5,5,2,1,7,119,8900
2017,83000,120,1.6,1,1,5,5,2,0,6,121,13700
2019,51000,140,1.5,2,2,5,5,1,1,9,108,21900
2021,27000,160,1.8,2,2,5,5,1,1,10,116,28900
2013,139000,100,1.4,1,1,5,5,2,1,6,127,7900
2016,97000,115,1.6,3,2,5,5,1,1,8,114,12900
2018,68000,145,2.0,2,1,5,5,2,1,8,135,17600
2020,39000,130,1.3,1,2,5,5,1,1,10,99,23500
2023,9000,200,2.0,2,2,5,5,1,1,10,128,37900
2011,165000,85,1.2,1,1,5,5,3,0,4,132,5200
2015,108000,125,1.6,3,1,5,5,2,1,7,124,10100
2017,74000,110,1.5,1,1,5,5,1,1,9,109,14900
2019,47000,155,2.0,2,2,5,5,1,1,9,119,22800
2022,22000,170,1.8,2,1,5,5,1,1,10,111,31400
2014,132000,95,1.2,1,1,3,4,2,1,6,128,7200
2016,88000,135,1.6,1,2,5,5,1,1,8,114,15400
2018,59000,120,1.4,3,1,5,5,2,1,8,106,16200
2020,31000,150,1.6,2,2,5,5,1,1,10,101,25700
2021,15000,190,2.0,2,2,5,5,1,1,10,129,34200
2009,210000,70,1.0,1,1,3,4,4,0,3,145,3100
2013,118000,115,1.5,3,1,5,5,2,1,6,120,8300
2015,92000,140,1.8,2,2,5,5,1,1,8,116,14500
2018,43000,160,1.6,1,2,5,5,1,1,9,104,20500
2020,26000,175,2.0,2,2,5,5,1,1,10,123,27800
2012,155000,100,1.4,1,1,5,5,3,1,5,130,6500
2016,103000,110,1.5,3,1,5,5,2,1,7,117,11300
2017,67000,150,2.0,2,1,5,5,1,1,8,139,16900
2019,38000,135,1.3,1,2,5,5,1,1,9,97,22400
2023,7000,220,2.0,2,2,5,5,1,1,10,126,41900
2010,174000,80,1.2,1,1,5,5,3,1,4,136,4700
2014,109000,100,1.4,1,1,5,5,2,1,7,122,8500
2016,81000,130,1.6,3,2,5,5,1,0,6,119,13900
2018,52000,155,1.8,2,2,5,5,1,1,9,117,21700
2021,33000,145,1.5,1,2,5,5,1,1,9,102,26100
2011,142000,90,1.3,1,1,3,4,2,1,6,129,6000
2015,99000,120,1.6,3,1,5,5,2,1,7,126,10800
2017,61000,135,1.5,1,1,5,5,1,1,8,111,15800
2019,29000,180,2.0,2,2,5,5,1,1,10,121,27300
2022,12000,165,1.6,2,2,5,5,1,1,10,108,31900
2008,225000,68,1.0,1,1,3,4,4,0,2,151,2600
2013,126000,105,1.5,3,1,5,5,2,1,6,123,8100
2016,75000,145,1.8,2,2,5,5,1,1,9,118,15100
2018,41000,125,1.4,1,1,5,5,1,1,9,100,18200
2020,19000,160,1.6,2,2,5,5,1,1,10,106,26700
2012,137000,88,1.2,1,1,5,5,2,1,5,133,6100
2014,101000,130,1.6,3,2,5,5,1,1,8,115,12800
2017,54000,155,2.0,2,1,5,5,1,1,9,140,18300
2019,36000,145,1.5,1,2,5,5,1,1,9,109,22900
2021,21000,200,2.0,2,2,5,5,1,1,10,130,33700
2010,198000,78,1.2,1,1,5,5,3,0,4,141,3900
2015,87000,110,1.4,1,1,5,5,2,1,7,113,9900
2016,69000,125,1.6,3,2,5,5,1,1,8,116,14300
2018,47000,150,1.8,2,2,5,5,1,1,9,120,21100
2022,16000,185,2.0,2,2,5,5,1,1,10,125,35100
2011,151000,92,1.3,1,1,3,4,3,1,5,134,5500
2013,113000,115,1.6,3,1,5,5,2,1,7,118,9200
2017,78000,135,1.5,1,2,5,5,1,1,8,107,15400
2020,44000,155,1.6,2,2,5,5,1,1,9,103,24900
2023,5000,210,2.0,2,2,5,5,1,1,10,127,40900
2009,175000,72,1.1,1,1,3,4,4,1,3,143,3400
2014,96000,120,1.5,3,1,5,5,1,1,8,121,11200
2016,62000,140,1.8,2,2,5,5,1,0,6,136,13600
2019,25000,130,1.3,1,2,5,5,1,1,10,96,21800
2021,14000,175,1.8,2,2,5,5,1,1,10,114,30700
2012,129000,98,1.4,1,1,5,5,2,1,6,127,6700
2015,73000,135,1.6,3,2,5,5,1,1,9,117,14700
2018,35000,165,2.0,2,2,5,5,1,1,9,122,23900
2020,23000,145,1.5,1,1,5,5,1,1,9,101,23100
2022,11000,195,2.0,2,2,5,5,1,1,10,131,36900
2010,159000,84,1.2,1,1,5,5,3,1,5,138,4500
2014,84000,108,1.4,1,1,5,5,2,1,8,115,10300
2017,49000,145,1.6,3,2,5,5,1,1,9,110,17700
2019,31000,170,2.0,2,2,5,5,1,1,10,124,26500
2021,26000,150,1.5,1,2,5,5,1,1,9,104,27200
2011,134000,95,1.3,1,1,3,4,2,1,6,130,6200
2013,105000,125,1.6,3,1,5,5,2,1,7,119,9700
2016,58000,155,1.8,2,2,5,5,1,1,9,117,17900
2020,17000,185,2.0,2,2,5,5,1,1,10,128,31400
2023,3000,230,2.0,2,2,5,5,1,1,10,129,43900
2008,240000,65,1.0,1,1,3,4,5,0,2,154,2200
2015,116000,100,1.4,1,1,5,5,2,1,6,124,8700
2018,64000,130,1.5,3,2,5,5,1,1,8,113,17100
2019,42000,150,1.6,2,1,5,5,1,1,9,108,20700
2022,8000,175,1.8,2,2,5,5,1,1,10,118,33400
2012,146000,86,1.2,1,1,5,5,3,0,4,135,5200
2016,93000,118,1.6,3,1,5,5,2,1,7,122,11900
2017,71000,142,1.8,2,2,5,5,1,1,8,132,15900
2020,35000,160,1.6,1,2,5,5,1,1,9,99,25200
2021,18000,190,2.0,2,2,5,5,1,1,10,126,34700
2014,121000,112,1.5,3,1,5,5,2,1,6,120,9000
2018,38000,155,1.8,2,2,5,5,1,1,9,116,22500
2019,27000,140,1.5,1,1,5,5,1,1,9,102,21900
2022,14000,205,2.0,2,2,5,5,1,1,10,130,38100
2013,158000,90,1.2,1,1,3,4,3,1,5,137,5600
2015,68000,128,1.6,3,2,5,5,1,1,8,114,13900
2017,46000,150,1.5,1,2,5,5,1,1,9,105,18100
2020,12000,175,1.8,2,2,5,5,1,1,10,119,30200
2023,6000,240,2.0,2,2,5,5,1,1,10,134,44900
