area_m2,bedrooms,bathrooms,age_years,lot_m2,distance_center_km,floors,garage_spaces,energy_rating,condition_score,neighborhood_score,has_pool,price_eur
62,2,1,48,180,12.4,1,0,3,5,5,0,142000
78,3,1,32,240,9.8,1,1,4,6,6,0,189000
95,3,2,18,310,7.2,2,1,5,7,7,0,248000
110,4,2,12,420,5.6,2,2,6,8,8,1,329000
135,4,2,8,520,3.9,2,2,6,9,9,1,428000
52,1,1,61,150,15.1,1,0,2,4,4,0,108000
88,3,1,40,275,10.7,1,1,3,5,6,0,205000
120,4,2,25,390,6.8,2,2,4,7,7,0,301000
145,5,3,6,610,2.8,2,2,6,9,9,1,498000
72,2,1,27,210,11.6,1,1,5,7,5,0,176000
101,3,2,21,330,8.4,2,1,5,7,6,0,264000
160,5,3,14,720,4.5,2,3,6,8,9,1,552000
68,2,1,55,195,13.8,1,0,2,5,4,0,149000
84,3,2,36,260,9.1,1,1,4,6,6,0,214000
115,4,2,19,400,5.9,2,2,5,8,8,0,315000
128,4,2,31,460,7.5,2,2,4,6,7,1,344000
48,1,1,72,130,17.2,1,0,1,3,3,0,92000
93,3,1,9,290,6.1,1,1,6,8,7,0,255000
142,4,3,11,580,3.2,2,2,6,9,9,1,476000
76,2,1,44,225,12.8,1,0,3,5,5,0,168000
105,3,2,16,350,7.9,2,1,5,8,7,0,286000
154,4,3,22,680,5.1,2,2,4,7,8,1,461000
59,2,1,38,170,14.6,1,0,3,6,4,0,133000
98,3,2,29,315,8.8,1,1,4,7,6,0,246000
126,4,2,7,445,4.2,2,2,6,9,8,1,391000
87,3,1,50,280,10.2,1,1,2,5,6,0,205000
113,4,2,17,370,6.7,2,2,5,8,7,0,314000
137,4,3,13,540,3.7,2,2,6,8,9,1,447000
66,2,1,63,200,16.4,1,0,2,4,4,0,139000
91,3,2,34,300,9.5,1,1,4,6,6,0,229000
119,4,2,24,410,6.3,2,2,5,7,8,0,328000
149,5,3,9,630,3.5,2,3,6,9,9,1,511000
74,2,1,30,215,11.1,1,1,4,7,5,0,179000
103,3,2,42,340,8.1,2,1,3,6,7,0,255000
131,4,2,5,475,4.8,2,2,6,9,8,1,416000
57,2,1,68,160,18.3,1,0,1,3,3,0,101000
80,3,1,26,250,10.4,1,1,5,7,6,0,200000
108,3,2,15,360,7.0,2,2,6,8,7,0,301000
144,4,3,28,590,4.1,2,2,4,6,8,1,438000
69,2,1,47,190,13.2,1,0,3,5,5,0,151000
96,3,2,20,305,7.6,1,1,5,8,7,0,262000
124,4,2,10,430,5.4,2,2,6,9,8,1,377000
156,5,3,18,700,2.6,2,3,5,8,9,1,529000
61,2,1,35,175,14.0,1,0,4,6,4,0,145000
86,3,1,58,270,11.8,1,1,2,4,6,0,192000
117,4,2,23,395,6.5,2,2,4,7,7,0,315000
134,4,3,4,500,3.0,2,2,6,9,9,1,448000
51,1,1,75,140,19.1,1,0,1,3,3,0,89000
99,3,2,13,320,8.0,1,1,6,8,7,0,269000
129,4,2,37,450,5.8,2,2,3,6,8,0,333000
147,5,3,16,620,4.7,2,3,5,8,9,1,486000
70,2,1,52,205,12.2,1,0,2,5,5,0,153000
89,3,1,31,285,9.0,1,1,4,7,6,0,218000
112,4,2,8,380,5.0,2,2,6,9,8,0,336000
138,4,3,20,560,3.8,2,2,5,8,9,1,452000
64,2,1,43,185,14.9,1,0,3,5,4,0,139000
102,3,2,27,345,7.4,2,1,4,7,7,0,273000
121,4,2,6,405,4.4,2,2,6,9,8,1,372000
159,5,3,12,740,2.2,2,3,6,9,9,1,574000
75,2,1,60,220,13.7,1,0,2,4,5,0,157000
94,3,2,18,295,8.6,1,1,5,8,6,0,252000
116,4,2,33,385,6.9,2,2,4,6,7,0,299000
133,4,3,9,515,3.6,2,2,6,9,9,1,449000
58,2,1,49,165,15.8,1,0,3,5,4,0,128000
83,3,1,22,255,10.0,1,1,5,7,6,0,211000
107,3,2,14,335,7.1,2,1,6,8,7,0,288000
146,5,3,25,650,4.9,2,3,4,7,8,1,457000
67,2,1,70,175,17.6,1,0,1,3,4,0,112000
97,3,2,39,310,8.9,1,1,3,6,6,0,239000
123,4,2,11,425,5.7,2,2,6,9,8,1,382000
141,4,3,17,535,3.4,2,2,5,8,9,1,469000
53,1,1,45,145,16.0,1,0,3,5,4,0,116000
79,3,1,28,235,10.9,1,1,4,7,5,0,191000
111,4,2,19,365,6.2,2,2,5,8,7,0,313000
136,4,3,7,545,3.1,2,2,6,9,9,1,457000
65,2,1,57,180,14.3,1,0,2,4,5,0,143000
92,3,2,24,300,8.2,1,1,5,7,6,0,241000
118,4,2,13,400,5.5,2,2,6,8,8,0,339000
151,5,3,21,675,4.0,2,3,4,7,9,1,482000
60,2,1,64,155,17.0,1,0,1,3,3,0,104000
85,3,1,16,265,9.7,1,1,6,8,6,0,219000
109,3,2,30,355,7.8,2,1,4,6,7,0,272000
127,4,2,5,470,4.6,2,2,6,9,8,1,407000
143,4,3,15,600,2.9,2,2,5,8,9,1,478000
71,2,1,41,210,12.9,1,0,3,6,5,0,158000
100,3,2,9,325,7.3,1,1,6,9,7,0,281000
114,4,2,26,390,6.6,2,2,4,7,8,0,307000
139,4,3,10,575,3.3,2,2,6,9,9,1,468000
63,2,1,54,170,15.4,1,0,2,5,4,0,134000
90,3,2,35,285,9.3,1,1,3,6,6,0,221000
106,3,2,12,345,7.0,2,1,5,8,7,0,286000
132,4,3,8,490,4.3,2,2,6,9,8,1,428000
155,5,3,19,710,2.5,2,3,5,8,9,1,533000
77,2,1,46,230,11.5,1,0,3,5,5,0,169000
104,3,2,17,350,8.3,1,1,5,8,7,0,278000
122,4,2,29,415,5.9,2,2,4,7,8,0,322000
148,5,3,6,640,3.0,2,3,6,9,9,1,526000
56,1,1,80,135,20.2,1,0,1,3,2,0,82000
81,3,1,33,245,10.6,1,1,4,6,5,0,197000
98,3,2,21,315,7.7,2,1,5,7,7,0,257000
125,4,2,14,455,5.2,2,2,6,8,8,1,393000
140,4,3,23,530,3.9,2,2,4,7,9,1,438000
73,2,1,59,200,13.5,1,0,2,4,5,0,149000
95,3,2,7,300,8.0,1,1,6,9,7,0,267000
113,4,2,18,375,6.1,2,2,5,8,8,0,326000
130,4,3,11,505,4.0,2,2,6,9,9,1,438000
